+-------+--------+----------------------------------------+-----+-----+-----+-----+-----+-------+--------+---------+-------+-------+--------+-------+--------+--------------+--------------+--------------+--------------+
| COUNT | METHOD |                  URI                   | 1XX | 2XX | 3XX | 4XX | 5XX |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50   |  P99  | STDDEV |  MIN(BODY)   |  MAX(BODY)   |  SUM(BODY)   |  AVG(BODY)   |
+-------+--------+----------------------------------------+-----+-----+-----+-----+-----+-------+--------+---------+-------+-------+--------+-------+--------+--------------+--------------+--------------+--------------+
|    29 | GET    | /                                      |   0 |  26 |   0 |   3 |   0 | 0.402 |  6.465 | 108.625 | 3.746 | 0.402 |  4.220 | 3.889 |  1.171 |        0.000 |    15135.000 |   388605.000 |    13400.172 |
|    10 | GET    | /api/users/[0-9]+                      |   0 |   1 |   0 |   9 |   0 | 2.052 | 10.004 |  78.916 | 7.892 | 2.322 | 10.002 | 4.531 |  3.280 |        0.000 |     2476.000 |     2476.000 |      247.600 |
|    39 | POST   | /api/events/[0-9]+                     |   0 |  27 |   0 |  12 |   0 | 0.001 |  3.026 |  34.542 | 0.886 | 0.196 |  0.001 | 1.207 |  0.708 |       45.000 |    11970.000 |    25340.000 |      649.744 |
|    36 | GET    | /api/events/[0-9]+                     |   0 |  27 |   0 |   9 |   0 | 0.001 |  3.093 |  31.704 | 0.881 | 0.176 |  1.119 | 1.152 |  0.607 |        0.000 |    52983.000 |  1184331.000 |    32898.083 |
|     3 | GET    | /admin/api/reports/sales               |   0 |   3 |   0 |   0 |   0 | 4.167 |  5.699 |  15.374 | 5.125 | 5.508 |  5.508 | 5.699 |  0.682 | 14984158.000 | 14984668.000 | 44953332.000 | 14984444.000 |
|    11 | GET    | /admin/                                |   0 |  10 |   0 |   1 |   0 | 0.001 | 10.004 |  13.612 | 1.237 | 3.586 |  0.002 | 0.002 |  2.956 |    11351.000 |    19813.000 |   121972.000 |    11088.364 |
|    10 | GET    | /admin/api/reports/events/[0-9]+/sales |   0 |  10 |   0 |   0 |   0 | 0.963 |  2.329 |  12.961 | 1.296 | 0.963 |  1.148 | 1.141 |  0.357 |       67.000 |   996863.000 |  3988661.000 |   398866.100 |
|    19 | DELETE | /api/events/[0-9]+                     |   0 |  11 |   0 |   8 |   0 | 1.024 |  1.391 |  12.789 | 0.673 | 0.181 |  0.004 | 1.178 |  0.507 |        0.000 |       26.000 |      200.000 |       10.526 |
|    78 | POST   | /api/actions/login                     |   0 |  74 |   0 |   4 |   0 | 0.001 |  0.240 |   1.508 | 0.019 | 0.000 |  0.004 | 0.059 |  0.044 |       31.000 |       41.000 |     2849.000 |       36.526 |
|     1 | GET    | /initialize                            |   0 |   1 |   0 |   0 |   0 | 1.379 |  1.379 |   1.379 | 1.379 | 1.379 |  1.379 | 1.379 |  0.000 |        0.000 |        0.000 |        0.000 |        0.000 |
|     4 | POST   | /admin/api/events                      |   0 |   2 |   0 |   2 |   0 | 0.001 |  0.987 |   1.173 | 0.293 | 0.001 |  0.184 | 0.001 |  0.407 |       32.000 |    11956.000 |    23976.000 |     5994.000 |
