+-------+--------+----------------------------------------+-----+-----+-----+-----+-----+-------+--------+--------+--------+-------+--------+--------+--------+--------------+--------------+--------------+--------------+
| COUNT | METHOD |                  URI                   | 1XX | 2XX | 3XX | 4XX | 5XX |  MIN  |  MAX   |  SUM   |  AVG   |  P1   |  P50   |  P99   | STDDEV |  MIN(BODY)   |  MAX(BODY)   |  SUM(BODY)   |  AVG(BODY)   |
+-------+--------+----------------------------------------+-----+-----+-----+-----+-----+-------+--------+--------+--------+-------+--------+--------+--------+--------------+--------------+--------------+--------------+
|     7 | GET    | /api/users/[0-9]+                      |   0 |   1 |   0 |   6 |   0 | 2.308 | 21.203 | 76.864 | 10.981 | 2.308 | 10.001 | 21.203 |  5.198 |        0.000 |     2465.000 |     2465.000 |      352.143 |
|    14 | GET    | /                                      |   0 |  10 |   0 |   4 |   0 | 0.398 | 13.111 | 58.587 |  4.185 | 0.398 |  4.098 |  1.924 |  3.044 |    14691.000 |    14691.000 |   146463.000 |    10461.643 |
|    39 | POST   | /api/events/[0-9]+                     |   0 |  26 |   0 |  13 |   0 | 0.001 | 12.507 | 49.858 |  1.278 | 0.181 |  1.018 |  3.009 |  1.977 |        0.000 |    11972.000 |    13349.000 |      342.282 |
|    34 | GET    | /api/events/[0-9]+                     |   0 |  27 |   0 |   7 |   0 | 0.012 | 12.769 | 47.550 |  1.399 | 0.178 |  1.031 |  2.574 |  2.111 |    52971.000 |    52995.000 |  1266363.000 |    37245.971 |
|    15 | GET    | /admin/api/reports/events/[0-9]+/sales |   0 |  13 |   0 |   2 |   0 | 1.096 | 13.372 | 42.251 |  2.817 | 1.096 |  1.259 |  2.375 |  3.092 |        0.000 |   997634.000 |  7980395.000 |   532026.333 |
|     3 | GET    | /admin/api/reports/sales               |   0 |   3 |   0 |   0 |   0 | 4.266 |  6.065 | 16.230 |  5.410 | 5.899 |  5.899 |  6.065 |  0.812 | 14983944.000 | 14984675.000 | 44953078.000 | 14984359.333 |
|     6 | GET    | /admin/                                |   0 |   5 |   0 |   1 |   0 | 0.002 | 10.004 | 13.611 |  2.268 | 3.526 |  0.002 |  0.069 |  3.689 |    11351.000 |    19814.000 |    65225.000 |    10870.833 |
|    15 | DELETE | /api/events/[0-9]+                     |   0 |   7 |   0 |   8 |   0 | 0.001 |  1.431 |  8.817 |  0.588 | 0.182 |  0.750 |  0.001 |  0.562 |        0.000 |       26.000 |      200.000 |       13.333 |
|    76 | POST   | /api/actions/login                     |   0 |  73 |   0 |   3 |   0 | 0.001 |  0.222 |  2.006 |  0.026 | 0.001 |  0.080 |  0.008 |  0.043 |        0.000 |       41.000 |     2747.000 |       36.145 |
|     1 | GET    | /initialize                            |   0 |   1 |   0 |   0 |   0 | 1.440 |  1.440 |  1.440 |  1.440 | 1.440 |  1.440 |  1.440 |  0.000 |        0.000 |        0.000 |        0.000 |        0.000 |
|     4 | POST   | /admin/api/events                      |   0 |   2 |   0 |   2 |   0 | 0.001 |  1.090 |  1.271 |  0.318 | 0.000 |  0.180 |  0.001 |  0.452 |       32.000 |    11959.000 |    23981.000 |     5995.250 |
|    28 | POST   | /admin/api/actions/login               |   0 |  22 |   0 |   6 |   0 | 0.002 |  0.321 |  1.037 |  0.037 | 0.003 |  0.004 |  0.234 |  0.074 |       33.000 |       39.000 |     1014.000 |       36.214 |
|    12 | POST   | /api/users                             |   0 |  10 |   0 |   2 |   0 | 0.001 |  0.220 |  0.575 |  0.048 | 0.001 |  0.220 |  0.069 |  0.064 |       22.000 |       38.000 |      403.000 |       33.583 |
|    57 | GET    | /css/.+                                |   0 |  57 |   0 |   0 |   0 | 0.004 |  0.006 |  0.021 |  0.000 | 0.000 |  0.000 |  0.000 |  0.001 |      684.000 |   140930.000 |  2704099.000 |    47440.333 |
|     4 | POST   | /admin/api/actions/logout              |   0 |   2 |   0 |   2 |   0 | 0.001 |  0.002 |  0.004 |  0.001 | 0.001 |  0.000 |  0.002 |  0.001 |       32.000 |       32.000 |       64.000 |       16.000 |
|   132 | GET    | /js/.+                                 |   0 | 132 |   0 |   0 |   0 | 0.000 |  0.001 |  0.001 |  0.000 | 0.000 |  0.000 |  0.000 |  0.000 |     2074.000 |    86452.000 |  4838826.000 |    36657.773 |
|     2 | POST   | /api/actions/logout                    |   0 |   1 |   0 |   1 |   0 | 0.000 |  0.000 |  0.000 |  0.000 | 0.000 |  0.000 |  0.000 |  0.000 |       26.000 |       26.000 |       26.000 |       13.000 |
|    19 | GET    | /favicon.ico                           |   0 |  19 |   0 |   0 |   0 | 0.000 |  0.000 |  0.000 |  0.000 | 0.000 |  0.000 |  0.000 |  0.000 |     1092.000 |     1092.000 |    20748.000 |     1092.000 |
+-------+--------+----------------------------------------+-----+-----+-----+-----+-----+-------+--------+--------+--------+-------+--------+--------+--------+--------------+--------------+--------------+--------------+
